wavelength,D50,D55,D65,D75
800,0.733961137,0.673453774,0.594476794,0.547282817
801,0.725809429,0.666044224,0.588038899,0.541428287
802,0.717064676,0.658094183,0.581130753,0.535147006
803,0.707654297,0.649537541,0.573694491,0.528385839
804,0.69745732,0.640264119,0.565633666,0.521056228
805,0.686558484,0.630351163,0.557015325,0.513218726
806,0.675035231,0.619869239,0.547901005,0.504929437
807,0.6626528,0.608604425,0.538104256,0.496018568
808,0.651056965,0.598056392,0.52893207,0.487676144
809,0.642728489,0.590485663,0.522354576,0.481696055
810,0.63915583,0.587248553,0.519553855,0.479154636
811,0.640105314,0.588131783,0.520343704,0.479882288
812,0.645813884,0.593350557,0.524911071,0.484049187
813,0.654789814,0.601546635,0.532073131,0.490578421
814,0.66454689,0.610456286,0.539858509,0.497675138
815,0.673437156,0.618578556,0.546959718,0.504148931
816,0.681696465,0.626128008,0.553563456,0.510169783
817,0.689245193,0.633032793,0.559607688,0.515681206
818,0.696012774,0.639224005,0.565028602,0.520625147
819,0.702141982,0.644824658,0.569927616,0.525094006
820,0.707718481,0.649908559,0.574365581,0.529143227
821,0.712502636,0.654258263,0.5781537,0.53260084
822,0.716254054,0.657654422,0.581100488,0.53529237
823,0.719367098,0.660460021,0.583525376,0.53750882
824,0.722499043,0.663280037,0.585960751,0.539735191
825,0.726040474,0.666474571,0.588723948,0.542260502
826,0.729911005,0.669969873,0.591750241,0.545025759
827,0.734194803,0.673842576,0.595106453,0.548091939
828,0.738459699,0.677700863,0.598452178,0.551148197
829,0.741991716,0.68089651,0.601223568,0.553679764
830,0.744362466,0.683040582,0.603082315,0.555377778
